,id,name,album,key,mode,camelot,tempo,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness
34,4ad42e0ee67e7644aee2d8460b476cb0,,,D,major,10B,146.0,4:18,80.0,92.0,64.0,85.0,3.0,0.0,9.0,8.0,-4 dB
35,1fffa850f2c14c08333a212e7bbbe0ff,,,G,major,9B,128.0,3:31,77.0,34.0,66.0,41.0,81.0,0.0,11.0,5.0,-11 dB
36,e2bb37835cc1eb07f4e1c39c451ba212,,,B,minor,10A,120.0,4:36,81.0,68.0,77.0,81.0,28.0,0.0,68.0,22.0,-6 dB
37,06b7b5b21b2368c288499d66d99d704c,,,C#,major,3B,107.0,3:40,76.0,74.0,80.0,25.0,24.0,6.0,10.0,8.0,-7 dB
38,b28927a3992d2ad0116c11796d59688c,,,F#,minor,11A,86.0,2:39,83.0,52.0,71.0,30.0,71.0,0.0,9.0,4.0,-9 dB
39,17ecacb666fac172cebb71e241173b43,,,G,minor,6A,92.0,3:05,82.0,52.0,74.0,49.0,39.0,0.0,24.0,3.0,-8 dB
40,94b81508198ee88bf1044c11b65e21e5,Ric Flair Drip (with Metro Boomin),Without Warning,A,major,11B,100.0,2:52,80.0,43.0,88.0,33.0,15.0,0.0,11.0,21.0,-8 dB
41,ab2882dee483194d7e5aa546d0cdec3f,Hotline Bling,Views,D,major,10B,135.0,4:27,82.0,63.0,89.0,55.0,0.0,0.0,5.0,6.0,-8 dB
42,6f0294d4c10e75bdbe126a51afba0773,9,Views,Bb,major,6B,100.0,4:15,82.0,71.0,68.0,4.0,0.0,0.0,24.0,5.0,-7 dB
43,2d8a1ce135875e12df250c450e930df4,Homecoming,Graduation,C#,major,3B,87.0,3:23,83.0,75.0,67.0,92.0,34.0,0.0,12.0,19.0,-7 dB
44,1112090bf0fd148cfde46e7e861ec908,Violent Crimes,ye,C#,minor,12A,110.0,3:35,83.0,42.0,67.0,4.0,38.0,0.0,19.0,52.0,-7 dB
45,0fbc5a7d457d86a5b09633febe8917fb,90210 (feat. Kacy Hill),Rodeo,A,minor,8A,81.0,5:39,83.0,53.0,40.0,31.0,11.0,0.0,11.0,9.0,-7 dB
46,496db43ccf6acef5f2ab61d2905797e1,,,A#,minor,3A,127.0,3:54,81.0,78.0,82.0,81.0,28.0,0.0,11.0,11.0,-5 dB
47,a1ffc381a975a337132c50d073d26343,,,B,minor,10A,140.0,2:00,83.0,25.0,75.0,18.0,78.0,0.0,11.0,26.0,-16 dB
48,290ba8db815215c42a107dd7a4860572,,,C,major,8B,160.0,3:00,80.0,71.0,77.0,81.0,23.0,0.0,12.0,10.0,-6 dB
49,51b935e4afa3b029c67e6b0ed409cc8c,,,D,minor,7A,120.0,3:39,82.0,57.0,65.0,19.0,45.0,0.0,12.0,4.0,-6 dB
50,663dae0bfa262a8ff5e424ab6ad40726,,,Ab,major,4B,154.0,2:56,78.0,67.0,70.0,62.0,19.0,0.0,11.0,11.0,-5 dB
51,31fdb902a76ca858eb4c6aefd1cb6912,Work Out,Cole World: The Sideline Story,D,major,10B,93.0,3:55,83.0,43.0,83.0,22.0,5.0,0.0,31.0,11.0,-7 dB
52,f731f68ec78a456496832d98a7a3c1a6,What Did I Miss?,What Did I Miss?,C,minor,5A,126.0,3:14,88.0,80.0,75.0,46.0,18.0,0.0,30.0,4.0,-4 dB
53,42598312b38d2de2290d1eca8ee438da,American Boy,Shine,C,major,8B,118.0,4:44,82.0,73.0,69.0,52.0,17.0,0.0,7.0,38.0,-3 dB
54,0dfd0a76c8230aec432874953cb640af,,,A#,minor,3A,99.0,4:25,77.0,52.0,84.0,62.0,2.0,0.0,19.0,5.0,-6 dB
55,6a78ab0c7c717913d025f7043ec9b983,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",C,major,8B,166.0,3:38,82.0,67.0,53.0,37.0,0.0,0.0,9.0,18.0,-5 dB
56,4fbe0823b3addbcdc2563dd76883b82a,RATHER LIE (with The Weeknd),MUSIC,Ab,major,4B,133.0,3:29,85.0,67.0,72.0,28.0,6.0,0.0,21.0,3.0,-4 dB
57,83c7fbcf013ab1de28ad9c2937b24ebe,,,C#,minor,12A,122.0,4:03,80.0,33.0,81.0,21.0,22.0,0.0,11.0,10.0,-9 dB
58,195314f05b4000db7d632fec9278196f,,,C,major,8B,151.0,2:60,80.0,64.0,82.0,43.0,5.0,0.0,10.0,4.0,-5 dB
59,89e045b232d759104f6918b6880a931d,one of wun,One of Wun,Bb,minor,3A,140.0,2:24,84.0,45.0,92.0,29.0,9.0,0.0,10.0,27.0,-5 dB
60,81d9b634450b805aaae71f9f8651b6f7,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",D,major,10B,128.0,3:18,85.0,78.0,62.0,55.0,1.0,3.0,23.0,4.0,-6 dB
61,8f229c56f6f73e522ebaa491a7a9d522,Wet Dreamz,2014 Forest Hills Drive,F#,minor,11A,176.0,3:59,83.0,72.0,50.0,54.0,7.0,0.0,11.0,36.0,-8 dB
62,5675c4764a24e883a9ed4012eff31fb0,,,C,minor,5A,90.0,3:58,80.0,42.0,69.0,39.0,40.0,0.0,14.0,4.0,-10 dB
63,af2f1b8764d35d30dce95f9b52509f1b,,,A,minor,8A,110.0,3:34,80.0,76.0,90.0,57.0,1.0,0.0,26.0,14.0,-6 dB
64,f77864bd7362925f7c25f52029ac1bce,Hit 'Em Up - Single Version,Greatest Hits,G,major,9B,95.0,5:12,83.0,84.0,92.0,59.0,4.0,0.0,8.0,24.0,-4 dB
65,fa9a5e34d7e063af871e2d59434dbbc9,,,Ab,major,4B,138.0,2:07,80.0,65.0,94.0,88.0,19.0,0.0,7.0,12.0,-4 dB
66,f374fb1975624863a29cdaea7ec0e9bb,,,D,major,10B,128.0,1:32,80.0,46.0,85.0,77.0,30.0,0.0,11.0,12.0,-7 dB
67,e21f58e6ca5585afcc23f53ffbeeffcf,,,G#,minor,1A,117.0,2:38,80.0,70.0,68.0,42.0,29.0,0.0,13.0,4.0,-5 dB
